   Time             I(C0)             I(L0)             I(R0)             V0              
 9.217000000E-003 -9.786559829E+000  2.171048099E+001  9.786530150E+000  1.467979522E+002 
 9.218000000E-003 -9.762335635E+000  2.193042199E+001  9.762305992E+000  1.464345899E+002 
 9.219000000E-003  1.201208135E+001  2.179444202E+001  9.782330998E+000  1.467349650E+002 
 9.220000000E-003  1.176712827E+001  2.157880341E+001  9.811645418E+000  1.471746813E+002 
 9.221000000E-003  1.152215281E+001  2.136268707E+001  9.840504503E+000  1.476075675E+002 
 9.222000000E-003  1.127715645E+001  2.114594269E+001  9.868756435E+000  1.480313465E+002 
 9.223000000E-003  1.103215258E+001  2.092858361E+001  9.896401180E+000  1.484460177E+002 
 9.224000000E-003  1.078715457E+001  2.071062319E+001  9.923438735E+000  1.488515810E+002 
 9.225000000E-003  1.054217572E+001  2.049207478E+001  9.949869132E+000  1.492480370E+002 
 9.226000000E-003  1.029722934E+001  2.027295174E+001  9.975692434E+000  1.496353865E+002 
 9.227000000E-003  1.005232867E+001  2.005326741E+001  1.000090874E+001  1.500136311E+002 
 9.228000000E-003  9.807486934E+000  1.983303515E+001  1.002551818E+001  1.503827726E+002 
 9.229000000E-003  9.562717319E+000  1.961226830E+001  1.004952091E+001  1.507428136E+002 
 9.230000000E-003  9.318032969E+000  1.939098021E+001  1.007291713E+001  1.510937569E+002 
 9.231000000E-003  9.073446993E+000  1.916918420E+001  1.009570707E+001  1.514356060E+002 
 9.232000000E-003  8.828972464E+000  1.894689362E+001  1.011789098E+001  1.517683647E+002 
 9.233000000E-003  8.584622415E+000  1.872412179E+001  1.013946917E+001  1.520920375E+002 
 9.234000000E-003  8.340409841E+000  1.850088203E+001  1.016044194E+001  1.524066292E+002 
 9.235000000E-003  8.096347695E+000  1.827718764E+001  1.018080967E+001  1.527121451E+002 
 9.236000000E-003  7.852448893E+000  1.805305194E+001  1.020057274E+001  1.530085911E+002 
 9.237000000E-003 -1.019149561E+001  1.811135489E+001  1.019146532E+001  1.528719799E+002 
 9.238000000E-003 -1.016628471E+001  1.833129595E+001  1.016625446E+001  1.524938169E+002 
 9.239000000E-003 -1.014112060E+001  1.855123700E+001  1.014109039E+001  1.521163558E+002 
 9.240000000E-003 -1.011601878E+001  1.877117804E+001  1.011598860E+001  1.517398291E+002 
 9.241000000E-003 -1.009097909E+001  1.899111909E+001  1.009094895E+001  1.513642343E+002 
 9.242000000E-003 -1.006600138E+001  1.921106013E+001  1.006597128E+001  1.509895693E+002 
 9.243000000E-003 -1.004108550E+001  1.943100117E+001  1.004105544E+001  1.506158316E+002 
 9.244000000E-003 -1.001623129E+001  1.965094220E+001  1.001620127E+001  1.502430190E+002 
 9.245000000E-003 -9.991438602E+000  1.987088323E+001  9.991408615E+000  1.498711292E+002 
 9.246000000E-003 -9.966707281E+000  2.009082426E+001  9.966677331E+000  1.495001600E+002 
 9.247000000E-003 -9.942037177E+000  2.031076528E+001  9.942007264E+000  1.491301090E+002 
 9.248000000E-003 -9.917428137E+000  2.053070630E+001  9.917398261E+000  1.487609739E+002 
 9.249000000E-003 -9.892880011E+000  2.075064732E+001  9.892850172E+000  1.483927526E+002 
 9.250000000E-003 -9.868392647E+000  2.097058833E+001  9.868362845E+000  1.480254427E+002 
 9.251000000E-003 -9.843965896E+000  2.119052934E+001  9.843936130E+000  1.476590420E+002 
 9.252000000E-003 -9.819599608E+000  2.141047034E+001  9.819569878E+000  1.472935482E+002 
 9.253000000E-003 -9.795293632E+000  2.163041135E+001  9.795263939E+000  1.469289591E+002 
 9.254000000E-003 -9.771047819E+000  2.185035234E+001  9.771018162E+000  1.465652724E+002 
 9.255000000E-003  1.210114396E+001  2.187263282E+001  9.771459203E+000  1.465718880E+002 
 9.256000000E-003  1.185620560E+001  2.165722967E+001  9.800994376E+000  1.470149156E+002 
 9.257000000E-003  1.161124119E+001  2.144134517E+001  9.830074236E+000  1.474511135E+002 
 9.258000000E-003  1.136625101E+001  2.122482776E+001  9.858546965E+000  1.478782045E+002 
 9.259000000E-003  1.112124846E+001  2.100769080E+001  9.886412516E+000  1.482961877E+002 
 9.260000000E-003  1.087624690E+001  2.078994764E+001  9.913670874E+000  1.487050631E+002 
 9.261000000E-003  1.063125967E+001  2.057161164E+001  9.940322060E+000  1.491048309E+002 
 9.262000000E-003  1.038630008E+001  2.035269615E+001  9.966366124E+000  1.494954919E+002 
 9.263000000E-003  1.014138138E+001  2.013321452E+001  9.991803152E+000  1.498770473E+002 
 9.264000000E-003  9.896516814E+000  1.991318010E+001  1.001663326E+001  1.502494989E+002 
 9.265000000E-003  9.651719578E+000  1.969260624E+001  1.004085660E+001  1.506128490E+002 
 9.266000000E-003  9.407002829E+000  1.947150628E+001  1.006447336E+001  1.509671004E+002 
 9.267000000E-003  9.162379692E+000  1.924989357E+001  1.008748375E+001  1.513122562E+002 
 9.268000000E-003  8.917863252E+000  1.902778143E+001  1.010988801E+001  1.516483202E+002 
 9.269000000E-003  8.673466556E+000  1.880518319E+001  1.013168644E+001  1.519752966E+002 
 9.270000000E-003  8.429202614E+000  1.858211218E+001  1.015287934E+001  1.522931901E+002 
 9.271000000E-003  8.185084394E+000  1.835858171E+001  1.017346705E+001  1.526020058E+002 
 9.272000000E-003  7.941124825E+000  1.813460508E+001  1.019344996E+001  1.529017495E+002 
 9.273000000E-003 -1.020067582E+001  1.803138211E+001  1.020064552E+001  1.530096828E+002 
