   Time             I(C0)             I(L0)             I(R0)             V0              
 8.186000000E-003  6.095685825E+000  1.475189102E+001  8.656167524E+000  1.767300872E+002 
 8.187000000E-003  5.741686993E+000  1.440930682E+001  8.667582134E+000  1.769631355E+002 
 8.188000000E-003  5.387932685E+000  1.406628467E+001  8.678314267E+000  1.771822499E+002 
 8.189000000E-003  5.034449385E+000  1.372285154E+001  8.688364421E+000  1.773874406E+002 
 8.190000000E-003  4.681263510E+000  1.337903441E+001  8.697733144E+000  1.775787187E+002 
 8.191000000E-003  4.328401397E+000  1.303486021E+001  8.706421035E+000  1.777560964E+002 
 8.192000000E-003  3.975889313E+000  1.269035585E+001  8.714428744E+000  1.779195872E+002 
 8.193000000E-003  3.623753444E+000  1.234554822E+001  8.721756971E+000  1.780692051E+002 
 8.194000000E-003  3.272019900E+000  1.200046419E+001  8.728406467E+000  1.782049657E+002 
 8.195000000E-003  2.920714708E+000  1.165513057E+001  8.734378032E+000  1.783268851E+002 
 8.196000000E-003  2.569863813E+000  1.130957417E+001  8.739672519E+000  1.784349809E+002 
 8.197000000E-003  2.219493074E+000  1.096382175E+001  8.744290827E+000  1.785292713E+002 
 8.198000000E-003  1.869628266E+000  1.061790003E+001  8.748233908E+000  1.786097759E+002 
 8.199000000E-003  1.520295073E+000  1.027183570E+001  8.751502763E+000  1.786765150E+002 
 8.200000000E-003  1.171519092E+000  9.925655404E+000  8.754098441E+000  1.787295101E+002 
 8.201000000E-003 -8.737277691E+000  1.031309141E+001  8.737239853E+000  1.783853139E+002 
 8.202000000E-003 -8.720451534E+000  1.070052741E+001  8.720413730E+000  1.780417806E+002 
 8.203000000E-003 -8.703649688E+000  1.108796340E+001  8.703611918E+000  1.776987436E+002 
 8.204000000E-003 -8.686880215E+000  1.147539939E+001  8.686842479E+000  1.773563676E+002 
 8.205000000E-003 -8.670143051E+000  1.186283536E+001  8.670105349E+000  1.770146512E+002 
 8.206000000E-003 -8.653438135E+000  1.225027133E+001  8.653400468E+000  1.766735932E+002 
 8.207000000E-003 -8.636765405E+000  1.263770729E+001  8.636727771E+000  1.763331923E+002 
 8.208000000E-003 -8.620124798E+000  1.302514324E+001  8.620087199E+000  1.759934473E+002 
 8.209000000E-003 -8.603516253E+000  1.341257918E+001  8.603478688E+000  1.756543568E+002 
 8.210000000E-003 -8.586939708E+000  1.380001512E+001  8.586902177E+000  1.753159197E+002 
 8.211000000E-003 -8.570395102E+000  1.418745104E+001  8.570357604E+000  1.749781347E+002 
 8.212000000E-003 -8.553882372E+000  1.457488696E+001  8.553844908E+000  1.746410005E+002 
 8.213000000E-003 -8.537401457E+000  1.496232287E+001  8.537364027E+000  1.743045158E+002 
 8.214000000E-003 -8.520952297E+000  1.534975877E+001  8.520914900E+000  1.739686795E+002 
 8.215000000E-003 -8.504534829E+000  1.573719466E+001  8.504497466E+000  1.736334902E+002 
 8.216000000E-003 -8.488148994E+000  1.612463055E+001  8.488111664E+000  1.732989468E+002 
 8.217000000E-003 -8.471794729E+000  1.651206642E+001  8.471757432E+000  1.729650479E+002 
 8.218000000E-003 -8.455471974E+000  1.689950229E+001  8.455434711E+000  1.726317923E+002 
 8.219000000E-003 -8.439180669E+000  1.728693815E+001  8.439143439E+000  1.722991788E+002 
 8.220000000E-003 -8.422920752E+000  1.767437400E+001  8.422883555E+000  1.719672062E+002 
 8.221000000E-003 -8.406692164E+000  1.806180985E+001  8.406655000E+000  1.716358732E+002 
 8.222000000E-003 -8.390494843E+000  1.844924568E+001  8.390457713E+000  1.713051786E+002 
 8.223000000E-003 -8.374328730E+000  1.883668151E+001  8.374291633E+000  1.709751211E+002 
 8.224000000E-003 -8.358193765E+000  1.922411733E+001  8.358156700E+000  1.706456996E+002 
 8.225000000E-003 -8.342089887E+000  1.961155314E+001  8.342052855E+000  1.703169127E+002 
 8.226000000E-003 -8.326017037E+000  1.999898894E+001  8.325980038E+000  1.699887594E+002 
 8.227000000E-003 -8.309975155E+000  2.038642474E+001  8.309938188E+000  1.696612383E+002 
 8.228000000E-003 -8.293964180E+000  2.077386052E+001  8.293927247E+000  1.693343482E+002 
 8.229000000E-003 -8.277984055E+000  2.116129630E+001  8.277947154E+000  1.690080880E+002 
 8.230000000E-003 -8.262034719E+000  2.154873207E+001  8.261997850E+000  1.686824564E+002 
 8.231000000E-003 -8.246116112E+000  2.193616783E+001  8.246079276E+000  1.683574522E+002 
 8.232000000E-003  1.342125698E+001  2.168871861E+001  8.267424753E+000  1.687932556E+002 
 8.233000000E-003  1.306814593E+001  2.136098075E+001  8.292797893E+000  1.693112906E+002 
 8.234000000E-003  1.271480504E+001  2.103250205E+001  8.317660025E+000  1.698188924E+002 
 8.235000000E-003  1.236117605E+001  2.070305352E+001  8.341840435E+000  1.703125758E+002 
 8.236000000E-003  1.200728645E+001  2.037266213E+001  8.365338595E+000  1.707923299E+002 
 8.237000000E-003  1.165316372E+001  2.004135487E+001  8.388154029E+000  1.712581450E+002 
 8.238000000E-003  1.129883528E+001  1.970915877E+001  8.410286314E+000  1.717100125E+002 
 8.239000000E-003  1.094432854E+001  1.937610084E+001  8.431735079E+000  1.721479248E+002 
 8.240000000E-003  1.058967086E+001  1.904220812E+001  8.452500007E+000  1.725718754E+002 
 8.241000000E-003  1.023488954E+001  1.870750767E+001  8.472580833E+000  1.729818590E+002 
 8.242000000E-003  9.880011863E+000  1.837202654E+001  8.491977345E+000  1.733778711E+002 
 8.243000000E-003  9.525065057E+000  1.803579182E+001  8.510689383E+000  1.737599085E+002 
 8.244000000E-003  9.170076302E+000  1.769883055E+001  8.528716841E+000  1.741279691E+002 
 8.245000000E-003  8.815072729E+000  1.736116984E+001  8.546059663E+000  1.744820517E+002 
 8.246000000E-003  8.460081419E+000  1.702283675E+001  8.562717848E+000  1.748221563E+002 
 8.247000000E-003  8.105129399E+000  1.668385836E+001  8.578691444E+000  1.751482839E+002 
 8.248000000E-003  7.750243641E+000  1.634426174E+001  8.593980554E+000  1.754604366E+002 
 8.249000000E-003  7.395451060E+000  1.600407397E+001  8.608585331E+000  1.757586175E+002 
 8.250000000E-003  7.040778513E+000  1.566332210E+001  8.622505981E+000  1.760428307E+002 
 8.251000000E-003  6.686252795E+000  1.532203319E+001  8.635742761E+000  1.763130817E+002 
 8.252000000E-003  6.331900639E+000  1.498023427E+001  8.648295980E+000  1.765693765E+002 
 8.253000000E-003  5.977748711E+000  1.463795239E+001  8.660165999E+000  1.768117228E+002 
 8.254000000E-003  5.623823615E+000  1.429521455E+001  8.671353229E+000  1.770401287E+002 
 8.255000000E-003  5.270151881E+000  1.395204774E+001  8.681858134E+000  1.772546039E+002 
 8.256000000E-003  4.916759972E+000  1.360847894E+001  8.691681228E+000  1.774551587E+002 
 8.257000000E-003  4.563674279E+000  1.326453512E+001  8.700823075E+000  1.776418047E+002 
 8.258000000E-003  4.210921117E+000  1.292024319E+001  8.709284292E+000  1.778145546E+002 
 8.259000000E-003  3.858526725E+000  1.257563007E+001  8.717065545E+000  1.779734218E+002 
 8.260000000E-003  3.506517266E+000  1.223072263E+001  8.724167552E+000  1.781184211E+002 
 8.261000000E-003  3.154918821E+000  1.188554772E+001  8.730591080E+000  1.782495682E+002 
 8.262000000E-003  2.803757391E+000  1.154013217E+001  8.736336946E+000  1.783668796E+002 
 8.263000000E-003  2.453058893E+000  1.119450276E+001  8.741406019E+000  1.784703732E+002 
 8.264000000E-003  2.102849158E+000  1.084868623E+001  8.745799216E+000  1.785600676E+002 
 8.265000000E-003  1.753153933E+000  1.050270930E+001  8.749517505E+000  1.786359827E+002 
 8.266000000E-003  1.403998871E+000  1.015659864E+001  8.752561902E+000  1.786981391E+002 
 8.267000000E-003 -8.748555838E+000  1.005493214E+001  8.748517976E+000  1.786155756E+002 
 8.268000000E-003 -8.731707962E+000  1.044236815E+001  8.731670134E+000  1.782715989E+002 
 8.269000000E-003 -8.714884427E+000  1.082980414E+001  8.714846635E+000  1.779281191E+002 
 8.270000000E-003 -8.698093308E+000  1.121724013E+001  8.698055549E+000  1.775853011E+002 
 8.271000000E-003 -8.681334539E+000  1.160467612E+001  8.681296815E+000  1.772431436E+002 
