   Time             I(L1)             V0              
 9.464000000E-003  3.161339201E+001  4.924437075E+001 
 9.465000000E-003  3.211175774E+001  4.941523622E+001 
 9.466000000E-003  3.260920714E+001  4.961456284E+001 
 9.467000000E-003  3.284890937E+001  4.983978277E+001 
 9.468000000E-003  3.260142310E+001  5.004037724E+001 
 9.469000000E-003  3.235324932E+001  5.022117916E+001 
 9.470000000E-003  3.210424405E+001  5.037630702E+001 
 9.471000000E-003  3.185453178E+001  5.050681153E+001 
 9.472000000E-003  3.160423189E+001  5.061370694E+001 
 9.473000000E-003  3.135345885E+001  5.069797218E+001 
 9.474000000E-003  3.110232234E+001  5.076055210E+001 
 9.475000000E-003  3.085092747E+001  5.080235856E+001 
 9.476000000E-003  3.059937488E+001  5.082427153E+001 
 9.477000000E-003  3.034776097E+001  5.082714017E+001 
 9.478000000E-003  3.009617798E+001  5.081178384E+001 
 9.479000000E-003  2.984471417E+001  5.077899309E+001 
 9.480000000E-003  2.959345398E+001  5.072953063E+001 
 9.481000000E-003  2.934247811E+001  5.066413224E+001 
 9.482000000E-003  2.909186369E+001  5.058350770E+001 
 9.483000000E-003  2.884168441E+001  5.048834162E+001 
 9.484000000E-003  2.859201062E+001  5.037929431E+001 
 9.485000000E-003  2.834290947E+001  5.025700256E+001 
 9.486000000E-003  2.809444500E+001  5.012208047E+001 
 9.487000000E-003  2.784667826E+001  4.997512017E+001 
 9.488000000E-003  2.759966745E+001  4.981669256E+001 
 9.489000000E-003  2.735346797E+001  4.964734807E+001 
 9.490000000E-003  2.710813255E+001  4.946761725E+001 
 9.491000000E-003  2.693113992E+001  4.927080553E+001 
 9.492000000E-003  2.743039174E+001  4.911447323E+001 
 9.493000000E-003  2.793013168E+001  4.899003603E+001 
 9.494000000E-003  2.843038531E+001  4.890693228E+001 
 9.495000000E-003  2.893095235E+001  4.886341102E+001 
 9.496000000E-003  2.943164102E+001  4.885778266E+001 
 9.497000000E-003  2.993226777E+001  4.888841687E+001 
 9.498000000E-003  3.043265698E+001  4.895374063E+001 
 9.499000000E-003  3.093264066E+001  4.905223636E+001 
 9.500000000E-003  3.143205824E+001  4.918244002E+001 
 9.501000000E-003  3.193075623E+001  4.934293933E+001 
 9.502000000E-003  3.242858802E+001  4.953237209E+001 
 9.503000000E-003  3.292541364E+001  4.974942444E+001 
 9.504000000E-003  3.269182610E+001  4.996051262E+001 
 9.505000000E-003  3.244380309E+001  5.014475309E+001 
 9.506000000E-003  3.219515185E+001  5.030970115E+001 
 9.507000000E-003  3.194574599E+001  5.044962656E+001 
 9.508000000E-003  3.169570683E+001  5.056555739E+001 
 9.509000000E-003  3.144515070E+001  5.065848599E+001 
 9.510000000E-003  3.119418911E+001  5.072937014E+001 
 9.511000000E-003  3.094292890E+001  5.077913420E+001 
 9.512000000E-003  3.069147242E+001  5.080867025E+001 
 9.513000000E-003  3.043991766E+001  5.081883915E+001 
 9.514000000E-003  3.018835846E+001  5.081047156E+001 
 9.515000000E-003  2.993688459E+001  5.078436895E+001 
 9.516000000E-003  2.968558195E+001  5.074130462E+001 
 9.517000000E-003  2.943453264E+001  5.068202455E+001 
 9.518000000E-003  2.918381517E+001  5.060724839E+001 
 9.519000000E-003  2.893350452E+001  5.051767031E+001 
 9.520000000E-003  2.868367233E+001  5.041395983E+001 
 9.521000000E-003  2.843438695E+001  5.029676268E+001 
 9.522000000E-003  2.818571361E+001  5.016670156E+001 
 9.523000000E-003  2.793771450E+001  5.002437694E+001 
 9.524000000E-003  2.769044890E+001  4.987036778E+001 
 9.525000000E-003  2.744397328E+001  4.970523228E+001 
 9.526000000E-003  2.719834138E+001  4.952950854E+001 
 9.527000000E-003  2.695360434E+001  4.934371525E+001 
 9.528000000E-003  2.725009705E+001  4.917089564E+001 
 9.529000000E-003  2.774974293E+001  4.904154330E+001 
 9.530000000E-003  2.824977922E+001  4.894323457E+001 
 9.531000000E-003  2.875020260E+001  4.888515040E+001 
 9.532000000E-003  2.925081817E+001  4.886557871E+001 
 9.533000000E-003  2.975143937E+001  4.888286745E+001 
 9.534000000E-003  3.025188766E+001  4.893542262E+001 
 9.535000000E-003  3.075199226E+001  4.902170632E+001 
 9.536000000E-003  3.125158989E+001  4.914023487E+001 
 9.537000000E-003  3.175052444E+001  4.928957705E+001 
 9.538000000E-003  3.224864679E+001  4.946835229E+001 
